Seniūnija                               ,Gatvė                                ,Namo Nr.,Buto Nr.                               ,Bendrasis (naudingasis) būsto plotas kv. m ,Socialinis būstas,Unikalus Nr.
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,32,37,38.83,Socialinis būstas,1098-7000-4010:0049                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,55,20,25.08,Socialinis būstas,1096-5000-7019:0046                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,60,36,28.39,Socialinis būstas,1096-5000-8016:0049                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,75,20,20.48,Socialinis būstas,1096-6000-9018:0106                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,75,30,21.02,Socialinis būstas,1096-6000-9018:0105                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,75,49,26.35,Socialinis būstas,1096-6000-9018:0104                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,75,69,32.19,Socialinis būstas,1096-6000-9018:0108                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,82,33,27.19,Socialinis būstas,1096-7000-7017:0029                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,94,7,50.06,Socialinis būstas,1096-6001-0017:0048                     
Antakalnio seniūnija                    ,Debesijos g.                                                                                                                                          ,2A      ,35,15.23,Socialinis būstas,1096-0005-7010:0085                     
Antakalnio seniūnija                    ,Duburio g.                                                                                                                                            ,9,17,47.52,Socialinis būstas,4400-4767-9601:7070                     
Antakalnio seniūnija                    ,Kanklių g.                                                                                                                                            ,4,36,49.84,Socialinis būstas,1098-0005-5012:0046                     
Antakalnio seniūnija                    ,Keramikų g.                                                                                                                                           ,18,2,24.37,Socialinis būstas,1097-8008-0015:0034                     
Antakalnio seniūnija                    ,Keramikų g.                                                                                                                                           ,18,2,18.93,Socialinis būstas,1097-8008-0015:0034/3                   
Antakalnio seniūnija                    ,Keramikų g.                                                                                                                                           ,18,2,17.63,Socialinis būstas,1097-8008-0015:0034/4                   
Antakalnio seniūnija                    ,Keramikų g.                                                                                                                                           ,18,2,17.54,Socialinis būstas,1097-8008-0015:0034/2                   
Antakalnio seniūnija                    ,M. K. Oginskio g.                                                                                                                                     ,12,1,55.13,Socialinis būstas,1094-0217-7013:0004                     
